2017-03-29_13:00:28.837 [main] INFO  com.micropole.mpeople.MainLauncher - Starting MainLauncher on MacBook-Pro-de-Benoit.local with PID 27088 (/Users/lfranceschini/IdeaProjects/MPeople/target/classes started by lfranceschini in /Users/lfranceschini/IdeaProjects/MPeople)
2017-03-29_13:00:28.839 [main] INFO  com.micropole.mpeople.MainLauncher - No active profile set, falling back to default profiles: default
2017-03-29_13:00:43.473 [main] INFO  com.micropole.mpeople.MainLauncher - Started MainLauncher in 15.291 seconds (JVM running for 20.338)
2017-03-29_18:25:16.547 [main] INFO  com.micropole.mpeople.MainLauncher - Starting MainLauncher on MacBook-Pro-de-Benoit.local with PID 27461 (/Users/lfranceschini/IdeaProjects/MPeople/target/classes started by lfranceschini in /Users/lfranceschini/IdeaProjects/MPeople)
2017-03-29_18:25:16.549 [main] INFO  com.micropole.mpeople.MainLauncher - No active profile set, falling back to default profiles: default
2017-03-29_18:26:31.762 [main] INFO  com.micropole.mpeople.MainLauncher - Starting MainLauncher on MacBook-Pro-de-Benoit.local with PID 27476 (/Users/lfranceschini/IdeaProjects/MPeople/target/classes started by lfranceschini in /Users/lfranceschini/IdeaProjects/MPeople)
2017-03-29_18:26:31.766 [main] INFO  com.micropole.mpeople.MainLauncher - No active profile set, falling back to default profiles: default
2017-03-29_18:31:47.007 [main] INFO  com.micropole.mpeople.MainLauncher - Starting MainLauncher on MacBook-Pro-de-Benoit.local with PID 27520 (/Users/lfranceschini/IdeaProjects/MPeople/target/classes started by lfranceschini in /Users/lfranceschini/IdeaProjects/MPeople)
2017-03-29_18:31:47.012 [main] INFO  com.micropole.mpeople.MainLauncher - No active profile set, falling back to default profiles: default
2017-03-29_18:31:54.556 [main] INFO  com.micropole.mpeople.MainLauncher - Started MainLauncher in 8.119 seconds (JVM running for 11.709)
2017-03-29_18:41:02.370 [main] INFO  com.micropole.mpeople.MainLauncher - Starting MainLauncher on MacBook-Pro-de-Benoit.local with PID 27559 (/Users/lfranceschini/IdeaProjects/MPeople/target/classes started by lfranceschini in /Users/lfranceschini/IdeaProjects/MPeople)
2017-03-29_18:41:02.374 [main] INFO  com.micropole.mpeople.MainLauncher - No active profile set, falling back to default profiles: default
2017-03-29_18:41:09.811 [main] INFO  com.micropole.mpeople.MainLauncher - Started MainLauncher in 7.876 seconds (JVM running for 12.531)
2017-03-29_18:42:28.413 [main] INFO  com.micropole.mpeople.MainLauncher - Starting MainLauncher on MacBook-Pro-de-Benoit.local with PID 27572 (/Users/lfranceschini/IdeaProjects/MPeople/target/classes started by lfranceschini in /Users/lfranceschini/IdeaProjects/MPeople)
